                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.432,                 2.7077,                 1.4006,                0.00704,                      1,                0.61923,                0.49345,                0.36561,                  2.418,                0.76115,                  4e-05,                  4e-05,                  4e-05
                      1,                  1.147,                 2.5473,                  1.273,                0.00664,                      1,                0.78987,                0.63417,                0.33149,                 2.4045,                0.74678,              9.901e-05,              9.901e-05,              9.901e-05
                      2,                 1.1044,                 2.2862,                  1.279,                0.00627,                      1,                0.86797,                0.69593,                0.34753,                 2.3857,                 0.7531,             0.00015683,             0.00015683,             0.00015683
                      3,                 1.1527,                   2.06,                 1.2042,                0.00602,                      1,                0.90376,                0.72727,                0.49848,                 2.3057,                0.78725,             0.00021347,             0.00021347,             0.00021347
                      4,                0.89078,                 1.6798,                 1.1558,                      1,                0.50487,                0.92684,                0.72653,                0.71236,                 1.8662,                0.89191,             0.00026891,             0.00026891,             0.00026891
                      5,                0.96322,                 1.4369,                 1.1004,                0.91683,                0.87179,                0.93952,                 0.7704,                0.64196,                 1.5844,                0.84638,             0.00032317,             0.00032317,             0.00032317
                      6,                  1.004,                 1.3484,                 1.1556,                0.92505,                0.87179,                0.94889,                0.80303,                0.52851,                  1.444,                0.77347,             0.00037624,             0.00037624,             0.00037624
                      7,                0.92042,                 1.2189,                 1.1883,                0.94425,                 0.8686,                0.95433,                0.82324,                 0.4579,                 1.3761,                0.76121,             0.00042812,             0.00042812,             0.00042812
                      8,                  1.067,                   1.22,                 1.2132,                0.96219,                0.82051,                0.94749,                0.80121,                0.45022,                 1.2004,                 0.7644,             0.00047882,             0.00047882,             0.00047882
                      9,                0.86678,                 1.0093,                 1.0962,                 0.9138,                0.81559,                0.94289,                0.77932,                0.45989,                 1.0851,                0.76549,             0.00052832,             0.00052832,             0.00052832
                     10,                 1.0786,                 1.2164,                 1.2371,                      1,                 0.7681,                0.94951,                0.81641,                0.41053,                0.81934,                0.74635,             0.00057664,             0.00057664,             0.00057664
                     11,                0.81117,                 1.2801,                 1.1924,                0.96601,                0.76923,                0.95398,                0.84064,                0.36714,                0.82004,                0.73959,             0.00062377,             0.00062377,             0.00062377
                     12,                0.93338,                 1.2524,                 1.1524,                0.99704,                0.76923,                 0.9546,                0.80636,                0.52629,                0.91113,                0.78598,             0.00066971,             0.00066971,             0.00066971
                     13,                 1.0993,                 1.0453,                 1.2714,                0.99769,                0.76923,                0.93669,                0.79927,                0.60146,                0.83062,                0.80315,             0.00071447,             0.00071447,             0.00071447
                     14,                0.83887,                0.92423,                 1.1182,                0.96739,                0.76073,                0.88856,                0.74143,                 1.0383,                0.90946,                 1.7089,             0.00075803,             0.00075803,             0.00075803
                     15,                0.88293,                0.96309,                 1.0039,                0.89753,                0.74359,                0.90897,                0.70028,                  1.143,                 1.2345,                 2.0249,             0.00080041,             0.00080041,             0.00080041
                     16,                  1.136,                 1.0892,                 1.1748,                0.90729,                0.84615,                0.96176,                 0.6969,                  1.088,                 2.1573,                 1.7127,              0.0008416,              0.0008416,              0.0008416
                     17,                 1.1988,                 1.2281,                 1.3483,                0.86173,                0.97436,                0.95737,                0.74013,                0.97734,                 2.4672,                 1.4061,              0.0008816,              0.0008816,              0.0008816
                     18,                 1.0161,                 1.1361,                 1.1623,                0.81678,                0.91458,                0.91998,                0.71838,                0.92284,                 2.3434,                 1.2763,             0.00092042,             0.00092042,             0.00092042
                     19,                 1.1095,                 2.7921,                 1.4361,                0.74986,                0.89744,                0.90993,                0.65911,                 1.1393,                 2.4761,                 1.4651,             0.00095804,             0.00095804,             0.00095804
                     20,                0.99164,                 1.1015,                 1.1814,                0.81236,                0.69231,                0.85639,                0.59831,                 1.1472,                 2.8353,                 1.7287,             0.00099448,             0.00099448,             0.00099448
                     21,                0.83181,                 1.0798,                 1.0929,                0.83981,                0.67227,                0.85834,                0.67594,                0.80336,                 1.9566,                 1.0873,              0.0010297,              0.0010297,              0.0010297
                     22,                0.95336,                 1.2384,                 1.2108,                 0.6949,                0.81766,                 0.8577,                0.66826,                0.66801,                  1.562,                0.89864,              0.0010638,              0.0010638,              0.0010638
                     23,                0.99691,                 1.5318,                 1.1718,                 0.8508,                0.64103,                0.85834,                0.65772,                0.61199,                 1.5875,                0.86985,              0.0010967,              0.0010967,              0.0010967
                     24,                 1.1865,                 1.5736,                 1.4444,                 0.6602,                0.82051,                0.83361,                0.67509,                0.58193,                 1.9137,                0.86675,              0.0011284,              0.0011284,              0.0011284
                     25,                0.81957,                 1.0257,                  1.063,                0.77357,                0.74359,                0.87173,                 0.7053,                0.61081,                  2.051,                0.90516,              0.0011588,              0.0011588,              0.0011588
                     26,                0.93829,                  1.135,                 1.1516,                0.84406,                0.74359,                0.88603,                0.72464,                0.67619,                 2.4123,                0.92815,              0.0011882,              0.0011882,              0.0011882
                     27,                 1.1251,                 1.0513,                 1.2318,                0.80374,                0.76923,                0.85485,                0.68193,                0.74318,                 1.7672,                0.93654,              0.0012163,              0.0012163,              0.0012163
